{6.37188794862555*^6, -1.0064491942298915*^6, 2.1222673184904945*^6},
{6.2931195989737185*^6, -717472.4857076384, 2.4460203156401706*^6},
{6.188169587756777*^6, -424350.55488182465, 2.7586355915323817*^6},
{6.057520820081563*^6, -128185.72015139362, 3.0586755097551323*^6},
{5.901763500014495*^6, 169897.72914299625, 3.3447557551780287*^6},
{5.72159325817807*^6, 468757.39779988065, 3.615551898964662*^6},
{5.517808676584138*^6, 767237.1952673928, 3.869806015618744*^6},
{5.291309042236617*^6, 1.064170826717957*^6, 4.1063323097591028*^6},
{5.043090207622907*^6, 1.3583876135495366*^6, 4.324024235918082*^6},
{4.774241289447676*^6, 1.6487164308807992*^6, 4.521859646037996*^6},
{4.48594017401855*^6, 1.9339908464641562*^6, 4.6989064974648375*^6},
{4.179448615043288*^6, 2.2130541995719983*^6, 4.854328017414101*^6},
{3.856106824833243*^6, 2.484764743750883*^6, 4.987387441848637*^6},
{3.5173275150642903*^6, 2.7480009330148385*^6, 5.097452271639497*^6},
{3.1645894896567166*^6, 3.0016666456168275*^6, 5.183997991721498*^6},
{2.7994307681031683*^6, 3.2446964209072473*^6, 5.246611203518362*^6},
{2.423441299279622*^6, 3.4760606154372916*^6, 5.284992127108458*^6},
{2.0382550818679887*^6, 3.694770557744353*^6, 5.298956438423264*^6},
{1.6455432830326543*^6, 3.899882825091119*^6, 5.288436391166372*^6},
{1.2470044966413341*^6, 4.0905047736278367*^6, 5.253481305817022*^6},
{844357.5010901307, 4.265798287150783*^6, 5.194257231575818*^6},
{439332.5996765364, 4.424984001461085*^6, 5.111045966950752*^6},
{33663.263219715904, 4.567345031830037*^6, 5.004243364480588*^6},
{-370922.2389892598, 4.692230351668198*^6, 4.874356961743452*^6},
{-772708.9865432002, 4.799057779043164*^6, 4.722002972394901*^6},
{-1.170003387694063*^6, 4.887316578552453*^6, 4.547902678970035*^6},
{-1.5611408926238131*^6, 4.956569661628583*^6, 4.352878275755075*^6},
{-1.9444933401000658*^6, 5.006455404911722*^6, 4.1378482150029335*^6},
{-2.318476031026447*^6, 5.036689054224379*^6, 3.9038221130266027*^6},
{-2.6815545551537517*^6, 5.047063775360455*^6, 3.6518950995480795*^6},
{-3.0322500040160767*^6, 5.037451334657456*^6, 3.383242705409126*^6},
{-3.3691462151223165*^6, 5.007802473776915*^6, 3.099113779529809*^6},
{-3.690894066397751*^6, 4.95814691399315*^6, 2.8008248700641133*^6},
{-3.996216576460065*^6, 4.8885931130002085*^6, 2.4897536112905503*^6},
{-4.283913326405994*^6, 4.799327729238589*^6, 2.1673321502260743*^6},
{-4.552864360717086*^6, 4.690614923067611*^6, 1.8350404872608574*^6},
{-4.802033863430155*^6, 4.5627952726641735*^6, 1.494399761907225*^6},
{-5.030473217576969*^6, 4.4162846849140925*^6, 1.146965508456686*^6},
{-5.237323870412934*^6, 4.251572955327392*^6, 794320.9002844632},
{-5.421819745322305*^6, 4.0692222525962843*^6, 438069.9959916811},
{-5.583289474555948*^6, 3.869865244390444*^6, 79830.75523953231},
{-5.721157775895423*^6, 3.6542037784359334*^6, -278770.72780796746},
{-5.834947647297268*^6, 3.4230059845411023*^6, -636108.3800084487},
{-5.924281144642918*^6, 3.1771045744231036*^6, -990561.8846227874},
{-5.988880442580285*^6, 2.9173943291401584*^6, -1.340523601252895*^6},
{-6.028568564654632*^6, 2.644829411847665*^6, -1.6844052296672652*^6},
{-6.043269776926228*^6, 2.3604205774048856*^6, -2.0206444548777875*^6},
{-6.033009730752456*^6, 2.0652320994035443*^6, -2.347711568042996*^6},
{-5.997915307788175*^6, 1.7603784536445546*^6, -2.6641160537723973*^6},
{-5.938214137062597*^6, 1.4470208001194454*^6, -2.9684131296400083*^6},
{-5.85423381692512*^6, 1.1263630832763207*^6, -3.2592102183919908*^6},
{-5.746400671316174*^6, 799647.7283773832, -3.535173507478621*^6},
{-5.615238523859682*^6, 468152.1839356332, -3.795033475125325*^6},
{-5.461366360409971*^6, 133182.8156287604, -4.037592098653543*^6},
{-5.285496252866337*^6, -203929.06735834372, -4.261727999037505*^6},
{-5.088430532771057*^6, -541832.7310850776, -4.466402280103248*^6},
{-4.871058574015381*^6, -879163.4461652637, -4.650663881924118*^6},
{-4.634353125987462*^6, -1.2145481925261158*^6, -4.813654587505397*^6},
{-4.379366188370563*^6, -1.5466115546647408*^6, -4.954613630910293*^6},
{-4.107224450951402*^6, -1.8739817312032676*^6, -5.0728818556694845*^6},
{-3.819124271696394*^6, -2.195296741398732*^6, -5.167905374527896*^6},
{-3.5163262658826844*^6, -2.509210613698099*^6, -5.239238685310718*^6},
{-3.2001492790424507*^6, -2.8143998384155477*^6, -5.28654722647861*^6},
{-2.8719651019932753*^6, -3.1095687439290793*^6, -5.309609180842416*^6},
{-2.533190721327942*^6, -3.3934568614356024*^6, -5.30831693718597*^6},
{-2.18528244954196*^6, -3.6648440605162135*^6, -5.282677557258635*^6},
{-1.8297288260294208*^6, -3.92255652224831*^6, -5.232812756619609*^6},
{-1.4680435188779307*^6, -4.165472302982838*^6, -5.158958177538725*^6},
{-1.1017581924839455*^6, -4.392526572679396*^6, -5.061462004161868*^6},
{-732415.4012992027, -4.602716531154216*^6, -4.9407829393334305*^6},
{-361561.3667174074, -4.795106010643365*^6, -4.797487570798873*^6},
{9260.993022967827, -4.968829648191448*^6, -4.63224716190261*^6},
{378518.9731070768, -5.123096683933766*^6, -4.445833908120492*^6},
{744696.7327989524, -5.25719434604172*^6, -4.239116705641517*^6},
{1.1063020378422996*^6, -5.370490886008366*^6, -4.013056323783511*^6},
{1.4618714578116394*^6, -5.462437838169473*^6, -3.7687009679042497*^6},
{1.8099776365297055*^6, -5.532572640240756*^6, -3.5071799773588455*^6},
{2.1492339408720033*^6, -5.580520055193476*^6, -3.2296987440825305*^6},
{2.478299866883325*^6, -5.605993645412283*^6, -2.9375326561575807*^6},
{2.795885909762581*^6, -5.60879679633345*^6, -2.632020995858351*^6},
{3.1007580873586503*^6, -5.588823401641461*^6, -2.3145606874241484*^6},
{3.3917420695390017*^6, -5.546058263856215*^6, -1.9865999298772402*^6},
{3.667727079849692*^6, -5.480577147392146*^6, -1.6496317446307917*^6},
{3.927669373773895*^6, -5.392546613567253*^6, -1.3051874618960284*^6},
{4.1705954665517258*^6, -5.282223572978166*^6, -954830.1642656827},
{4.395605234311311*^6, -5.149954483358653*^6, -600147.8616477613},
{4.601873886563193*^6, -4.996174883826451*^6, -242747.8382223855},
{4.7886554347622935*^6, -4.82140759107009*^6, 115751.40044973686},
{4.9552841501052715*^6, -4.626261744221114*^6, 473725.81727516133},
{5.10117669552532*^6, -4.411431092660909*^6, 829552.7352645058},
{5.225833865354188*^6, -4.177692132719993*^6, 1.1816175091234068*^6},
{5.328842072107096*^6, -3.925902036369628*^6, 1.5283202137845007*^6},
{5.409874698104491*^6, -3.6569962109278883*^6, 1.8680823485498591*^6},
{5.468693146414808*^6, -3.371985663128243*^6, 2.1993535525975674*^6},
{5.505147701818035*^6, -3.0719540036048344*^6, 2.5206183236325285*^6},
{5.519178143272932*^6, -2.7580541182722896*^6, 2.830402726579164*^6},
{5.510814051102764*^6, -2.431504320481143*^6, 3.1272812680461495*^6},
{5.480174946401685*^6, -2.0935851066408898*^6, 3.4098827351304386*^6},
{5.427469953730383*^6, -1.7456335269621299*^6, 3.6768979332117666*^6},
